Dataset,Model,k,f1_Score,Precision,Recall,Features
Mendeley,XGBoost,20,0.9442826855123675,0.9564221496879116,0.9324475212148281,"Index(['url_length', 'number_of_dots_in_url', 'number_of_digits_in_url',
       'number_of_special_char_in_url', 'number_of_hyphens_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'domain_length', 'number_of_dots_in_domain',
       'number_of_hyphens_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'average_subdomain_length', 'path_length',
       'having_query', 'entropy_of_url', 'entropy_of_domain'],
      dtype='object')"
Mendeley,XGBoost,25,0.9441351832490322,0.9558848772672656,0.9326708351942832,"Index(['url_length', 'number_of_dots_in_url', 'number_of_digits_in_url',
       'number_of_special_char_in_url', 'number_of_hyphens_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'domain_length', 'number_of_dots_in_domain',
       'number_of_hyphens_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'average_subdomain_length',
       'having_special_characters_in_subdomain',
       'number_of_special_characters_in_subdomain',
       'having_digits_in_subdomain', 'number_of_digits_in_subdomain',
       'having_repeated_digits_in_subdomain', 'path_length', 'having_query',
       'entropy_of_url', 'entropy_of_domain'],
      dtype='object')"
Mendeley,XGBoost,30,0.9447468622197152,0.9546827794561934,0.9350156319785619,"Index(['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url',
       'number_of_digits_in_url', 'number_of_special_char_in_url',
       'number_of_hyphens_in_url', 'number_of_underline_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'number_of_percent_in_url', 'domain_length',
       'number_of_dots_in_domain', 'number_of_hyphens_in_domain',
       'having_special_characters_in_domain',
       'number_of_special_characters_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'average_subdomain_length',
       'having_special_characters_in_subdomain',
       'number_of_special_characters_in_subdomain',
       'having_digits_in_subdomain', 'number_of_digits_in_subdomain',
       'having_repeated_digits_in_subdomain', 'path_length', 'having_query',
       'entropy_of_url', 'entropy_of_domain'],
      dtype='object')"
Mendeley,XGBoost,35,0.9446592352194159,0.9551446670090737,0.9344015185350603,"Index(['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url',
       'number_of_digits_in_url', 'number_of_special_char_in_url',
       'number_of_hyphens_in_url', 'number_of_underline_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'number_of_at_in_url',
       'number_of_dollar_in_url', 'number_of_hashtag_in_url',
       'number_of_percent_in_url', 'domain_length', 'number_of_dots_in_domain',
       'number_of_hyphens_in_domain', 'having_special_characters_in_domain',
       'number_of_special_characters_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'average_subdomain_length',
       'having_special_characters_in_subdomain',
       'number_of_special_characters_in_subdomain',
       'having_digits_in_subdomain', 'number_of_digits_in_subdomain',
       'having_repeated_digits_in_subdomain', 'having_path', 'path_length',
       'having_query', 'having_fragment', 'entropy_of_url',
       'entropy_of_domain'],
      dtype='object')"
Mendeley,XGBoost,40,0.9441478091363675,0.9556762939662568,0.9328941491737383,"Index(['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url',
       'number_of_digits_in_url', 'number_of_special_char_in_url',
       'number_of_hyphens_in_url', 'number_of_underline_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'number_of_at_in_url',
       'number_of_dollar_in_url', 'number_of_exclamation_in_url',
       'number_of_percent_in_url', 'domain_length', 'number_of_dots_in_domain',
       'number_of_hyphens_in_domain', 'having_special_characters_in_domain',
       'number_of_special_characters_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'having_dot_in_subdomain',
       'having_hyphen_in_subdomain', 'average_subdomain_length',
       'average_number_of_dots_in_subdomain',
       'average_number_of_hyphens_in_subdomain',
       'having_special_characters_in_subdomain',
       'number_of_special_characters_in_subdomain',
       'having_digits_in_subdomain', 'number_of_digits_in_subdomain',
       'having_repeated_digits_in_subdomain', 'having_path', 'path_length',
       'having_query', 'having_fragment', 'having_anchor', 'entropy_of_url',
       'entropy_of_domain'],
      dtype='object')"
Mendeley,LogReg,20,0.7778961069695894,0.8273345079285175,0.7340330504689594,"Index(['url_length', 'number_of_dots_in_url', 'number_of_digits_in_url',
       'number_of_special_char_in_url', 'number_of_slash_in_url',
       'number_of_questionmark_in_url', 'number_of_equal_in_url',
       'domain_length', 'number_of_dots_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'average_subdomain_length',
       'having_special_characters_in_subdomain',
       'having_repeated_digits_in_subdomain', 'path_length', 'having_query',
       'entropy_of_url', 'entropy_of_domain'],
      dtype='object')"
Mendeley,LogReg,25,0.7797961896322552,0.8279495703443518,0.7369361322018758,"Index(['url_length', 'number_of_dots_in_url', 'number_of_digits_in_url',
       'number_of_special_char_in_url', 'number_of_hyphens_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'domain_length', 'number_of_dots_in_domain',
       'number_of_hyphens_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'average_subdomain_length',
       'having_special_characters_in_subdomain',
       'number_of_special_characters_in_subdomain',
       'having_digits_in_subdomain', 'number_of_digits_in_subdomain',
       'having_repeated_digits_in_subdomain', 'path_length', 'having_query',
       'entropy_of_url', 'entropy_of_domain'],
      dtype='object')"
Mendeley,LogReg,30,0.784268534113406,0.8330299416232503,0.7408999553372041,"Index(['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url',
       'number_of_digits_in_url', 'number_of_special_char_in_url',
       'number_of_hyphens_in_url', 'number_of_underline_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'number_of_percent_in_url', 'domain_length',
       'number_of_dots_in_domain', 'number_of_hyphens_in_domain',
       'having_special_characters_in_domain',
       'number_of_special_characters_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'average_subdomain_length',
       'having_special_characters_in_subdomain',
       'number_of_special_characters_in_subdomain',
       'having_digits_in_subdomain', 'number_of_digits_in_subdomain',
       'having_repeated_digits_in_subdomain', 'path_length', 'having_query',
       'entropy_of_url', 'entropy_of_domain'],
      dtype='object')"
Mendeley,LogReg,35,0.784610383853905,0.8334484273965723,0.741179097811523,"Index(['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url',
       'number_of_digits_in_url', 'number_of_special_char_in_url',
       'number_of_hyphens_in_url', 'number_of_underline_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'number_of_at_in_url',
       'number_of_percent_in_url', 'domain_length', 'number_of_dots_in_domain',
       'number_of_hyphens_in_domain', 'having_special_characters_in_domain',
       'number_of_special_characters_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'having_dot_in_subdomain',
       'having_hyphen_in_subdomain', 'average_subdomain_length',
       'average_number_of_hyphens_in_subdomain',
       'having_special_characters_in_subdomain',
       'number_of_special_characters_in_subdomain',
       'having_digits_in_subdomain', 'number_of_digits_in_subdomain',
       'having_repeated_digits_in_subdomain', 'having_path', 'path_length',
       'having_query', 'entropy_of_url', 'entropy_of_domain'],
      dtype='object')"
Mendeley,LogReg,40,0.7848340672005674,0.8337414453443838,0.7413465832961144,"Index(['url_length', 'number_of_dots_in_url', 'having_repeated_digits_in_url',
       'number_of_digits_in_url', 'number_of_special_char_in_url',
       'number_of_hyphens_in_url', 'number_of_underline_in_url',
       'number_of_slash_in_url', 'number_of_questionmark_in_url',
       'number_of_equal_in_url', 'number_of_at_in_url',
       'number_of_dollar_in_url', 'number_of_exclamation_in_url',
       'number_of_percent_in_url', 'domain_length', 'number_of_dots_in_domain',
       'number_of_hyphens_in_domain', 'having_special_characters_in_domain',
       'number_of_special_characters_in_domain', 'having_digits_in_domain',
       'number_of_digits_in_domain', 'having_repeated_digits_in_domain',
       'number_of_subdomains', 'having_dot_in_subdomain',
       'having_hyphen_in_subdomain', 'average_subdomain_length',
       'average_number_of_dots_in_subdomain',
       'average_number_of_hyphens_in_subdomain',
       'having_special_characters_in_subdomain',
       'number_of_special_characters_in_subdomain',
       'having_digits_in_subdomain', 'number_of_digits_in_subdomain',
       'having_repeated_digits_in_subdomain', 'having_path', 'path_length',
       'having_query', 'having_fragment', 'having_anchor', 'entropy_of_url',
       'entropy_of_domain'],
      dtype='object')"
