Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
google_index,1.0,0.7462350598353769,0.05528233214486183,1.0,1.2537649401646231
hash_20605,0.00044828299669478876,0.10333612806052198,0.004531484205413258,1.0,0.8971121549361728
hash_10793,1.4907662775119685e-05,0.11551658500814144,0.004417593025105395,1.0,0.8844983226546337
hash_29034,0.00029662042636260136,0.12148211736658335,0.0040821780030263185,1.0,0.8788145030597793
hash_32303,0.00014837230359638875,0.12142928036529,0.0057752445300103886,1.0,0.8787190919383064
hash_31622,0.0005336431045484694,0.12373952948465108,0.004074931756972901,1.0,0.8767941136198973
hash_8108,0.0005891555242387211,0.12757192059336908,0.0048441644631016315,1.0,0.8730172349308697
hash_20389,0.00033176228002434024,0.12800377034518093,0.004345480343630075,1.0,0.8723279919348433
hash_27864,0.00035044975326994297,0.128749338988062,0.005191217892787286,1.0,0.871601110765208
hash_27476,3.85071287749253e-05,0.12918023245723104,0.004416733119001912,1.0,0.8708582746715439
hash_14683,0.00019447965248576491,0.12955933448124252,0.004725923892902792,1.0,0.8706351451712433
hash_32530,0.0009300529199079222,0.13111355333022848,0.005498370281323185,1.0,0.8698164995896794
hash_16043,1.795846329045548e-05,0.13138761841345514,0.004216998849899647,1.0,0.8686303400498353
hash_24342,0.00013818512746362237,0.1323394463380023,0.005314618841879948,1.0,0.8677987387894612
hash_9866,1.4827578713391802e-05,0.1324556021764812,0.004121206012441364,1.0,0.8675592254022321
hash_5895,0.0010048726119233047,0.13403462602879157,0.004916701471434251,1.0,0.8669702465831318
hash_15871,1.856746703671309e-05,0.13352669978781842,0.00563653533062362,1.0,0.8664918676792184
hash_25820,0.0015522166852179934,0.1352700528066779,0.007744897835216919,1.0,0.8662821638785401
hash_29314,2.7625425720402185e-06,0.13396636071410373,0.004382452523155368,1.0,0.8660364018284683
hash_22444,0.00039805937850962466,0.13475138361733588,0.0033190858781474994,1.0,0.8656466757611737
hash_3886,0.00016371478030822027,0.1345427565600705,0.003776172026469732,1.0,0.8656209582202377
hash_730,0.0004883650906256638,0.13522537515825045,0.004507235549062985,1.0,0.8652629899323752
hash_17011,0.0003287478296444057,0.13529112067592494,0.004503521742212474,1.0,0.8650376271537193
hash_8114,0.0001547719782082765,0.13526739941318858,0.0037837271697295422,1.0,0.8648873725650197
hash_16729,0.0005434180072905011,0.13623448132892416,0.003992183536884377,1.0,0.8643089366783664
hash_20310,1.9992991616190935e-05,0.13574874355481809,0.0035326846305632625,1.0,0.8642712494367981
hash_11413,2.4316496179286493e-05,0.13577217169003872,0.004534766140191955,1.0,0.8642521448061405
hash_739,0.0007344664073748783,0.13662609689974867,0.004558816377754782,1.0,0.8641083695076263
hash_26150,0.00038249771103316066,0.13654960651862758,0.0030796831111732027,1.0,0.8638328911924056
hash_5625,0.00023323651088718014,0.13663882655361995,0.0034810898670232047,1.0,0.8635944099572673
hash_20914,0.00018332943034704652,0.13664997948855823,0.00452518862965253,1.0,0.8635333499417888
hash_26316,0.00026405963843883796,0.13687578438208334,0.003969219367456866,1.0,0.8633882752563555
hash_23014,0.000782528252979471,0.1374153486969125,0.003986302747424747,1.0,0.8633671795560669
hash_37,1.024898193463999e-06,0.13706025996001803,0.003290879530525847,1.0,0.8629407649381754
hash_10474,1.0434718214549255e-06,0.13745423894834463,0.0037840933070935464,1.0,0.8625468045234768
hash_2753,0.00036306048509037,0.1379051985142456,0.004446519074147839,1.0,0.8624578619708447
hash_31612,0.000795497165735461,0.13906545558793965,0.004552575002392792,1.0,0.861730041577796
hash_21277,0.0004940510423976105,0.13878009392724594,0.0042776906105033525,1.0,0.8617139571151518
hash_3522,0.0007957582724091519,0.13909835685664979,0.004307190857935255,1.0,0.8616974014157595
hash_1064,0.0002283014050517326,0.13860154389958912,0.004816476367784859,1.0,0.8616267575054626
hash_21587,0.0013202085134503127,0.13990744606783106,0.006256927255056181,1.0,0.8614127624456192
hash_3167,0.00020620741894013397,0.1390652272625711,0.0033379372847219735,1.0,0.8611409801563691
hash_28557,0.0003756787703034236,0.13931746890677604,0.003683343335117958,1.0,0.8610582098635275
hash_23206,0.0001250138130379353,0.1391201818213989,0.0042248137864759295,1.0,0.861004831991639
hash_27424,0.00025444016887745,0.1393513538994761,0.004861662886203383,1.0,0.8609030862694015
hash_13321,0.00028966398735065215,0.13941901749681557,0.005111847874657511,1.0,0.8608706464905351
hash_30399,3.3927788325724492e-06,0.1391537291386828,0.0042897123166787225,1.0,0.8608496636401497
hash_8697,0.0007883395332842446,0.14024320388240183,0.004397816645538085,1.0,0.8605451356508823
hash_4796,0.0001292271929475849,0.1397704966196385,0.004904850210888414,1.0,0.8603587305733091
hash_28039,5.9606900243638016e-05,0.139712012699012,0.0041939340805722805,1.0,0.8603475942012316
hash_5946,0.00032314929542922726,0.13998106169500218,0.005194977472725658,1.0,0.8603420876004271
hash_12052,0.0005512077106581965,0.14029826288668584,0.004108649383816374,1.0,0.8602529448239724
hash_24077,0.00028865863047191254,0.14029156295835224,0.005151668184496686,1.0,0.8599970956721198
hash_19835,3.0293447883263652e-05,0.14004546196129614,0.0032167208417211795,1.0,0.8599848314865872
hash_3626,3.037269328404858e-09,0.14004916869981104,0.003615277257667191,1.0,0.8599508343374582
hash_803,4.651284297468075e-06,0.14043790315213903,0.004502841343408622,1.0,0.8595667481321585
hash_14519,7.815461210038325e-07,0.14052823293391878,0.005980532825201189,1.0,0.8594725486122021
hash_17105,0.00015356730121248222,0.14111376470729778,0.0038757909587620342,1.0,0.8590398025939148
hash_11428,0.0006852949635311633,0.14169371288882168,0.005775588728634093,1.0,0.8589915820747095
hash_9624,0.0008850358617008705,0.14198618072139046,0.004705242608439826,1.0,0.8588988551403105
hash_25884,5.4093240032571434e-05,0.14122483750481196,0.0034106793042657977,1.0,0.8588292557352206
hash_23879,5.649941685309008e-06,0.141182604792359,0.0042285338434530795,1.0,0.8588230451493264
hash_1354,8.816124506573211e-05,0.14135910140733993,0.004506798090476128,1.0,0.858729059837726
