Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
google_index,1.0,0.7462350598353769,0.05383157075094894,1.0,1.2537649401646231
nb_or,0.0,0.0,0.0,1.0,1.0
ratio_intErrors,0.0,0.0,0.0,1.0,1.0
ratio_intRedirection,0.0,0.0,0.0,1.0,1.0
ratio_nullHyperlinks,0.0,0.0,0.0,1.0,1.0
submit_email,0.0,0.0,0.0,1.0,1.0
sfh,0.0,0.0,0.0,1.0,1.0
hash_5625,0.00023323651088718014,0.1321411617147988,0.00313772613205721,1.0,0.8680920747960884
hash_1064,0.0002283014050517326,0.13860154389958912,0.004641237851560383,1.0,0.8616267575054626
hash_2532,0.0010401101741323612,0.1407690914279408,0.0059953925711402276,1.0,0.8602710187461916
hash_41,0.00036907999259052103,0.143121611776817,0.00493336252015812,1.0,0.8572474682157736
hash_4717,0.00012448784106782848,0.14500983172615195,0.0032336218112416853,1.0,0.8551146561149159
hash_24375,0.00036358525270957097,0.1471637798769633,0.005849910209113205,1.0,0.8531998053757462
hash_17361,0.0003357448003623484,0.14822534873652277,0.0036985489522071546,1.0,0.8521103960638394
hash_17869,0.0001839902796886283,0.1483088877266993,0.003925168431852637,1.0,0.8518751025529891
hash_19998,0.0001709350159289037,0.1483422121641459,0.003944976112252458,1.0,0.851828722851783
hash_9221,0.00030190154661071327,0.14869866244677585,0.0026629817619345584,1.0,0.8516032390998349
hash_25708,0.0005833485829610355,0.14902079980458913,0.005051888483906587,1.0,0.8515625487783718
hash_8255,0.00039660040033837225,0.14901304391211884,0.0041661612358790566,1.0,0.8513835564882195
hash_14755,0.000473034026509737,0.1509278430208357,0.004067035270069295,1.0,0.849545191005674
hash_23669,0.000174850176647186,0.15073218035132088,0.003326226282422056,1.0,0.8494426698253263
hash_9288,0.0004994722487481595,0.15109464757533275,0.005235872797787529,1.0,0.8494048246734154
hash_24055,0.0004893336386825153,0.15125391389380358,0.003908732504944073,1.0,0.8492354197448788
hash_1286,0.0007438942103714283,0.1515446475749711,0.00541109957181433,1.0,0.8491992466354004
hash_32223,0.0009156609976569834,0.15180843502939315,0.00403565096171416,1.0,0.8491072259682639
hash_19510,0.0002056777123224502,0.1511816809898993,0.004272061227931386,1.0,0.8490239967224232
