Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
google_index,1.0,0.7462350598353769,0.4182485889441101,1.0,1.2537649401646231
statistical_report,0.018220378552109177,0.26989001925909795,0.11035265348153193,1.0,0.7483303592930112
whois_registered_domain,0.0038736525786721462,0.2700273861046067,0.14471213204416097,1.0,0.7338462664740655
login_form,0.0002364167576313545,0.27378006009451655,0.14947916616812607,1.0,0.7264563566631148
nb_space,1.032527383289673e-06,0.2752750045507642,0.060429313763128586,1.0,0.7247260279766192
random_domain,0.0001425559165307772,0.27913852420057594,0.1452012813783504,1.0,0.7210040317159547
nb_percent,0.0007638867636657489,0.3286284329556366,0.0792256815600084,1.0,0.6721354538080291
empty_title,0.04060321277441504,0.4031908736480353,0.16423831606991343,1.0,0.6374123391263798
nb_extCSS,0.0056617831626369925,0.3897744674885465,0.15315577879785539,1.0,0.6158873156740906
nb_hyperlinks,0.114586642062672,0.5150802255014939,0.24581148137284636,1.0,0.5995064165611781
phish_hints,0.10344960588900409,0.5146121046795616,0.23633942011711165,1.0,0.5888375012094426
web_traffic,0.0033601064739178406,0.4228619605506822,0.22704807323989468,1.0,0.5804981459232357
shortening_service,0.011361230311059803,0.43859761847832307,0.19639991387650596,1.0,0.5727636118327366
ip,0.09686062466959434,0.5642281582468409,0.28296564414512704,1.0,0.5326324664227535
ratio_extRedirection,0.02078954212990551,0.49067353233388156,0.26765941338922367,1.0,0.530116009796024
nb_www,0.20734845312959796,0.6825815172835695,0.34286267379882873,1.0,0.5247669358460284
prefix_suffix,0.03947595245494289,0.5273518300086534,0.2678213922759963,1.0,0.5121241224462895
nb_com,0.020978952097865093,0.5094842073046792,0.23506454800661417,1.0,0.5114947447931859
tld_in_path,0.005565387272583431,0.5094842073046792,0.18610950072005933,1.0,0.49608117996790413
page_rank,0.3072259802690444,0.8434578827477128,0.4139376613735251,1.0,0.46376809752133163
domain_in_brand,0.008002811424384854,0.551179868862408,0.17485487295586383,1.0,0.45682294256197686
domain_registration_length,0.023971838907163534,0.5802350644325813,0.277614883257867,1.0,0.44373677447458215
nb_underscore,0.0013147930005948196,0.5686154488608903,0.21658439570150428,1.0,0.43269934413970446
nb_semicolumn,0.009070276776735735,0.5911434764208611,0.11244472116840887,1.0,0.4179268003558746
nb_redirection,0.0004025167008557105,0.5974032930262755,0.3280393318884879,1.0,0.4029992236745802
nb_hyphens,0.008512303286838406,0.6266597681461664,0.27010046479370353,1.0,0.38185253514067197
domain_with_copyright,0.0275719163533309,0.6476323472621611,0.36879694467551616,1.0,0.3799395690911699
ratio_extMedia,0.016585111929943483,0.6586647619031687,0.2825503599723193,1.0,0.3579203500267747
shortest_word_path,0.0047964898538917335,0.662759021890935,0.34375305546622664,1.0,0.34203746796295664
nb_qm,0.07900934835969026,0.7540949042333045,0.27472513328107256,1.0,0.3249144441263858
char_repeat,0.0004464818299659624,0.6890201627247876,0.3510108114109891,1.0,0.31142631910517826
external_favicon,0.018343064395749856,0.7380653836539179,0.36395819636041843,1.0,0.2802776807418319
ratio_extHyperlinks,0.006305121500893276,0.7380653836539179,0.36148700704603853,1.0,0.2682397378469754
domain_age,0.10267056025323149,0.8434578827477128,0.4321267502075111,1.0,0.2592126775055186
domain_in_title,0.11409121584767534,0.8615423299569589,0.48428439772616366,1.0,0.25254888589071656
https_token,0.011045918620770149,0.7597259791734651,0.4216014443256045,1.0,0.251319939447305
safe_anchor,0.030345280637153443,0.7817405847304939,0.3822410073651385,1.0,0.24860469590665946
ratio_intMedia,0.03591526842953053,0.8012924906873925,0.36555446911381356,1.0,0.23462277774213802
avg_word_path,0.03523927916302939,0.8254638205593957,0.37177281564253783,1.0,0.20977545860363367
shortest_words_raw,0.0012113417175567682,0.823216366102198,0.41690684874848477,1.0,0.17799497561535882
length_url,0.05398767742239964,0.9068108129067939,0.4899043500377775,1.0,0.14717686451560585
avg_words_raw,0.024630072336305302,0.8777190135463285,0.4959436276925862,1.0,0.1469110587899768
nb_slash,0.05157263626906819,0.9130806348822996,0.5192653249549111,1.0,0.13849200138676865
nb_eq,0.04753901079715695,0.9146107141680262,0.2528197213922424,1.0,0.13292829662913075
ratio_intHyperlinks,0.05976016763536345,0.9270074039024676,0.4547268791411522,1.0,0.1327527637328958
length_hostname,0.05406711743301403,0.9264978474588134,0.4998153924483475,1.0,0.1275692699742007
length_words_raw,0.03212851810789947,0.9068108129067939,0.4857744464604081,1.0,0.12531770520110552
shortest_word_host,0.041370718746592525,0.9221332523477266,0.42427170314326235,1.0,0.11923746639886601
nb_and,0.0250749248206555,0.9146107141680262,0.1998542220041587,1.0,0.11046421065262924
nb_dots,0.03667756201434018,0.9290076772665303,0.5087416544761463,1.0,0.10766988474780992
links_in_tags,0.03224630916226929,0.9270074039024676,0.41601385494687254,1.0,0.10523890525980173
longest_word_path,0.040330683814387196,0.9590423623827958,0.3027696140010752,1.0,0.08128832143159126
longest_words_raw,0.03558237562107727,0.9590423623827958,0.3749769101227031,1.0,0.07654001323828152
nb_subdomains,0.01084215411474965,0.937401146905196,0.5299646570367823,1.0,0.0734410072095536
nb_colon,0.007403147082069967,0.937401146905196,0.5339332325477779,1.0,0.07000200017687386
avg_word_host,0.031682137920891015,0.9674887618133056,0.4943195079828615,1.0,0.06419337610758535
longest_word_host,0.01357055274331161,0.9674887618133056,0.4958538169171622,1.0,0.046081790930006084
