Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
google_index,1.0,0.7462350598353769,0.05390653427091826,1.0,1.2537649401646231
hash_5625,0.00023323651088718014,0.1321411617147988,0.003150375505393975,1.0,0.8680920747960884
hash_20750,0.00023785167844515785,0.1336462338285742,0.0030393374647705025,1.0,0.8665916178498709
hash_1064,0.0002283014050517326,0.13860154389958912,0.004652088520596525,1.0,0.8616267575054626
hash_2532,0.0010401101741323612,0.1407690914279408,0.0060055960100015085,1.0,0.8602710187461916
hash_11164,0.0008458962440281021,0.1432496200553216,0.0036099581027045414,1.0,0.8575962761887065
hash_41,0.00036907999259052103,0.143121611776817,0.004970686770835769,1.0,0.8572474682157736
hash_24375,0.00036358525270957097,0.1471637798769633,0.005868508002072184,1.0,0.8531998053757462
hash_17361,0.0003357448003623484,0.14822534873652277,0.003692927895107417,1.0,0.8521103960638394
hash_17869,0.0001839902796886283,0.1483088877266993,0.003948741512746783,1.0,0.8518751025529891
hash_19998,0.0001709350159289037,0.1483422121641459,0.003950395879921181,1.0,0.851828722851783
hash_9221,0.00030190154661071327,0.14869866244677585,0.0026605035024054764,1.0,0.8516032390998349
hash_25708,0.0005833485829610355,0.14902079980458913,0.005068557574121753,1.0,0.8515625487783718
hash_8255,0.00039660040033837225,0.14901304391211884,0.004183153466956235,1.0,0.8513835564882195
hash_14755,0.000473034026509737,0.1509278430208357,0.004085786524437103,1.0,0.849545191005674
hash_23669,0.000174850176647186,0.15073218035132088,0.0033479037978119395,1.0,0.8494426698253263
hash_9288,0.0004994722487481595,0.15109464757533275,0.005227601718744289,1.0,0.8494048246734154
hash_24055,0.0004893336386825153,0.15125391389380358,0.003925859606480506,1.0,0.8492354197448788
hash_1286,0.0007438942103714283,0.1515446475749711,0.005410977136283619,1.0,0.8491992466354004
hash_32223,0.0009156609976569834,0.15180843502939315,0.004042587937726721,1.0,0.8491072259682639
hash_19510,0.0002056777123224502,0.1511816809898993,0.0042724270875434435,1.0,0.8490239967224232
hash_22945,0.00028662127768752844,0.15129061512695025,0.004254849246948311,1.0,0.8489960061507373
hash_10413,0.00027673130146321334,0.15131507093206123,0.0033469522597190005,1.0,0.8489616603694019
hash_19111,0.0003226640646792556,0.15136522397558133,0.0028881516273488654,1.0,0.8489574400890978
hash_580,0.00040673711685518845,0.15152474794472826,0.004927484778765037,1.0,0.848881989172127
hash_3605,0.0007080660259094199,0.15184221321833755,0.005374596308227441,1.0,0.8488658528075718
hash_26715,0.00020444367615037165,0.15213781626330936,0.00361558282277905,1.0,0.848066627412841
hash_27032,0.0009669001460824876,0.15291446617077104,0.00651232439659527,1.0,0.8480524339753115
hash_30107,0.00032867256439687327,0.15281088498610831,0.0043585890062312555,1.0,0.8475177875782887
hash_32530,0.0009300529199079222,0.15371439382259247,0.005429515459753161,1.0,0.8472156590973154
hash_1605,0.0005727092672945624,0.1539057033777356,0.003648928870471036,1.0,0.8466670058895589
popup_window,0.002961923336415983,0.15633115879140755,0.0043971488723708796,1.0,0.8466307645450084
hash_5125,0.00024239208851613989,0.15367070682106918,0.0031761907874833283,1.0,0.846571685267447
hash_19161,0.00021138995174426584,0.153662013734037,0.003436792086661561,1.0,0.8465493762177072
hash_31981,0.00024323866274172885,0.15391753609440417,0.004411121394976748,1.0,0.8463257025683376
hash_5874,0.0008338043242624882,0.1546241353858535,0.004809748011796135,1.0,0.8462096689384089
hash_30500,0.00022811186850107623,0.15473269710262516,0.0035333087659919346,1.0,0.8454954147658759
hash_30220,0.0006616246188473184,0.1554839462147352,0.003877872311762159,1.0,0.8451776784041121
hash_21566,0.0006836582763244556,0.15550901436031636,0.0038960211450086,1.0,0.8451746439160082
hash_31187,0.0008727125878370203,0.15594018120072412,0.004532448223615711,1.0,0.8449325313871128
hash_11605,0.00024253385570813786,0.15548941173385855,0.0038675347650140275,1.0,0.8447531221218496
hash_24765,0.0005913657749241971,0.15584899076617278,0.003967896537804075,1.0,0.8447423750087514
hash_11337,0.0002200521182179434,0.1556221296074023,0.0035394538646314542,1.0,0.8445979225108156
hash_32497,0.0006913914108115067,0.1563690261451995,0.003655245989990724,1.0,0.844322365265612
hash_4270,0.0004312608875141236,0.1564030765438047,0.0036967412125207657,1.0,0.8440281843437094
hash_25420,0.00016492876741766458,0.15622774964610509,0.004037848578074247,1.0,0.8439371791213126
hash_20703,0.0002568883330227495,0.1566245723252218,0.004128959668401937,1.0,0.843632316007801
hash_24618,0.00012075804924309598,0.15708789063867115,0.003288123552280383,1.0,0.8430328674105719
hash_10884,0.0001836356573820839,0.15737652255210705,0.003929073742374441,1.0,0.842807113105275
hash_5804,0.0009170710863918382,0.15812197933379896,0.005255284920682612,1.0,0.842795091752593
