Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
google_index,1.0,0.7462350598353769,0.43513726079355514,1.0,1.2537649401646231
statistical_report,0.018220378552109177,0.22993245888286196,0.10843521022482791,1.0,0.7882879196692472
nb_space,1.032527383289673e-06,0.2752750045507642,0.0640213554354464,1.0,0.7247260279766192
nb_percent,0.0007638867636657489,0.3286284329556366,0.08249036254884588,1.0,0.6721354538080291
empty_title,0.04060321277441504,0.4031908736480353,0.17261647180357378,1.0,0.6374123391263798
nb_extCSS,0.0056617831626369925,0.3897744674885465,0.1572396987262768,1.0,0.6158873156740906
nb_hyperlinks,0.114586642062672,0.5150802255014939,0.2502395171331977,1.0,0.5995064165611781
phish_hints,0.10344960588900409,0.5146121046795616,0.24861177244126761,1.0,0.5888375012094426
web_traffic,0.0033601064739178406,0.4228619605506822,0.23944715128492125,1.0,0.5804981459232357
shortening_service,0.011361230311059803,0.43859761847832307,0.1981291375609187,1.0,0.5727636118327366
nb_com,0.020978952097865093,0.45674624394995045,0.2434779150812464,1.0,0.5642327081479147
ip,0.09686062466959434,0.5642281582468409,0.2994817246123915,1.0,0.5326324664227535
nb_www,0.20734845312959796,0.6825815172835695,0.3557658285816101,1.0,0.5247669358460284
prefix_suffix,0.03947595245494289,0.5273518300086534,0.2821255080800556,1.0,0.5121241224462895
page_rank,0.3072259802690444,0.8434578827477128,0.42250139142815807,1.0,0.46376809752133163
domain_registration_length,0.023971838907163534,0.5802350644325813,0.2878217939051931,1.0,0.44373677447458215
nb_underscore,0.0013147930005948196,0.5686154488608903,0.22687385444167202,1.0,0.43269934413970446
nb_semicolumn,0.009070276776735735,0.5911434764208611,0.11740177478017806,1.0,0.4179268003558746
nb_redirection,0.0004025167008557105,0.5974032930262755,0.3402399231400418,1.0,0.4029992236745802
nb_hyphens,0.008512303286838406,0.6266597681461664,0.2828456865804705,1.0,0.38185253514067197
domain_with_copyright,0.0275719163533309,0.6476323472621611,0.38070060793018384,1.0,0.3799395690911699
ratio_extMedia,0.016585111929943483,0.6586647619031687,0.28970444981596594,1.0,0.3579203500267747
shortest_word_path,0.0047964898538917335,0.662759021890935,0.35856737841905245,1.0,0.34203746796295664
nb_qm,0.07900934835969026,0.7540949042333045,0.2903102916020479,1.0,0.3249144441263858
char_repeat,0.0004464818299659624,0.6890201627247876,0.3695150746510645,1.0,0.31142631910517826
external_favicon,0.018343064395749856,0.7380653836539179,0.3733503229419548,1.0,0.2802776807418319
ratio_extHyperlinks,0.006305121500893276,0.7380653836539179,0.366624758472649,1.0,0.2682397378469754
domain_age,0.10267056025323149,0.8434578827477128,0.446920092393891,1.0,0.2592126775055186
domain_in_title,0.11409121584767534,0.8596949425266194,0.5026802564472098,1.0,0.2543962733210561
https_token,0.011045918620770149,0.7597259791734651,0.4368137229668776,1.0,0.251319939447305
safe_anchor,0.030345280637153443,0.7817405847304939,0.3979067776487563,1.0,0.24860469590665946
ratio_intMedia,0.03591526842953053,0.8012924906873925,0.37844304730092104,1.0,0.23462277774213802
avg_word_path,0.03523927916302939,0.8254638205593957,0.3923763589392365,1.0,0.20977545860363367
shortest_words_raw,0.0012113417175567682,0.823216366102198,0.4273259994622656,1.0,0.17799497561535882
nb_slash,0.05157263626906819,0.8954298052010523,0.5389273138039008,1.0,0.15614283106801596
length_url,0.05398767742239964,0.9068108129067939,0.5149488900593187,1.0,0.14717686451560585
avg_words_raw,0.024630072336305302,0.8777190135463285,0.516814700552573,1.0,0.1469110587899768
nb_eq,0.04753901079715695,0.9146107141680262,0.2689528346392035,1.0,0.13292829662913075
ratio_intHyperlinks,0.05976016763536345,0.9270074039024676,0.4711419813742039,1.0,0.1327527637328958
length_hostname,0.05406711743301403,0.9264978474588134,0.5212129776043712,1.0,0.1275692699742007
length_words_raw,0.03212851810789947,0.9068108129067939,0.5071786073447079,1.0,0.12531770520110552
shortest_word_host,0.041370718746592525,0.9221332523477266,0.43989725588159034,1.0,0.11923746639886601
nb_and,0.0250749248206555,0.9146107141680262,0.21337449103177203,1.0,0.11046421065262924
nb_dots,0.03667756201434018,0.9290076772665303,0.5272557207725013,1.0,0.10766988474780992
links_in_tags,0.03224630916226929,0.9270074039024676,0.43081518866636015,1.0,0.10523890525980173
nb_subdomains,0.01084215411474965,0.9290076772665303,0.548499015352782,1.0,0.08183447684821932
longest_word_path,0.040330683814387196,0.9590423623827958,0.32126799066086664,1.0,0.08128832143159126
longest_words_raw,0.03558237562107727,0.9590423623827958,0.3949736437873152,1.0,0.07654001323828152
avg_word_host,0.031682137920891015,0.9674887618133056,0.5142667164644776,1.0,0.06419337610758535
longest_word_host,0.01357055274331161,0.9674887618133056,0.5166032178726034,1.0,0.046081790930006084
