Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
average_subdomain_length,0.5064930348999337,0.27790827960408476,0.10794826590846887,1.0,1.2285847552958489
entropy_of_url,1.0,0.7722383243255333,0.3611094520368514,1.0,1.2277616756744667
entropy_of_domain,0.7023850623181235,0.6722846877129991,0.191712519558195,1.0,1.0301003746051245
url_length,0.7385235777876551,0.7946995367798929,0.413796428398324,1.0,0.9438240410077622
having_digits_in_domain,0.2768568229569087,0.5293517156300018,0.2669108077749428,1.0,0.747505107326907
domain_length,0.39230162683169206,0.6722846877129991,0.2350446150359165,1.0,0.720016939118693
number_of_special_char_in_url,0.47866184439011983,0.7946995367798929,0.3576421407190631,1.0,0.6839623076102269
having_repeated_digits_in_domain,0.14436022646980218,0.5293705925772805,0.2289506686583554,1.0,0.6149896338925218
number_of_equal_in_url,0.24967362341576074,0.7374462664278474,0.24126173128804268,1.0,0.5122273569879134
number_of_digits_in_url,0.4554040794735585,1.0,0.3220240600326064,1.0,0.45540407947355854
number_of_digits_in_domain,0.4512288392332433,1.0,0.3220240600326064,1.0,0.4512288392332433
number_of_slash_in_url,0.3125849466918701,0.8677766760306403,0.2255364709179911,1.0,0.44480827066122963
number_of_digits_in_subdomain,0.11345693696434894,0.6715261753639834,0.14658207463633294,1.0,0.4419307616003656
having_repeated_digits_in_url,0.07689766653892612,0.6389266240001799,0.23168872308250368,1.0,0.4379710425387462
having_digits_in_subdomain,0.09165532110540896,0.6715261753639834,0.1277218787913566,1.0,0.42012914574142557
number_of_dots_in_domain,0.39560087081336814,1.0,0.2880424293566701,1.0,0.39560087081336803
number_of_dots_in_url,0.39008729940671116,1.0,0.2880424293566701,1.0,0.3900872994067113
path_length,0.18085589868020552,0.8677766760306403,0.16001735317130866,1.0,0.3130792226495652
number_of_questionmark_in_url,0.22128012936063707,0.9228638614265524,0.25587737607595284,1.0,0.2984162679340846
having_query,0.1835838578941546,0.9228638614265524,0.25463483753782495,1.0,0.26071999646760224
