Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
average_subdomain_length,0.693377577583235,0.22318088066596725,0.09172864993740366,1.0,1.4701966969172677
url_length,1.0,0.7946995367798929,0.429991427784916,1.0,1.205300463220107
domain_length,0.5191654815908119,0.5629010692916353,0.22158185803363672,1.0,0.9562644122991765
number_of_special_char_in_url,0.651608487521562,0.7946995367798929,0.4137589414534187,1.0,0.8569089507416691
number_of_slash_in_url,0.4281488799219776,0.6159295914849774,0.19710330931871475,1.0,0.8122192884370003
having_repeated_digits_in_domain,0.19699922402301734,0.5293705925772805,0.19762913427027573,1.0,0.6676286314457369
number_of_digits_in_subdomain,0.16697324423328752,0.5293705925772805,0.10267242511250524,1.0,0.6376026516560069
number_of_digits_in_url,0.611413624488229,1.0,0.28826623484837227,1.0,0.6114136244882289
number_of_digits_in_domain,0.6104585054949648,1.0,0.2882662348483723,1.0,0.6104585054949649
number_of_equal_in_url,0.3325618414370636,0.7374462664278474,0.30041435767943636,1.0,0.5951155750092163
number_of_dots_in_domain,0.5368014689662054,1.0,0.3338070499912288,1.0,0.5368014689662055
number_of_dots_in_url,0.5313776933820504,1.0,0.3338070499912288,1.0,0.5313776933820504
number_of_special_characters_in_domain,0.09467681298709966,0.6270375249051711,0.22761619754421197,1.0,0.46763928808192856
number_of_questionmark_in_url,0.2999120463495187,0.9228638614265524,0.3065926078704561,1.0,0.3770481849229662
having_query,0.24699411213018302,0.9228638614265524,0.3006007131307317,1.0,0.32413025070363066
