Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
entropy_of_url,1.0,0.7722383243255333,0.3629969877675218,1.0,1.2277616756744667
average_subdomain_length,0.49844597255169587,0.27790827960408476,0.09501824152636953,1.0,1.220537692947611
entropy_of_domain,0.7023850623181235,0.6722846877129991,0.20266038145224333,1.0,1.0301003746051245
url_length,0.7385235777876551,0.7946995367798929,0.4401540603923414,1.0,0.9438240410077622
having_digits_in_domain,0.2806536107186535,0.5293517156300018,0.23680689623506393,1.0,0.7513018950886516
number_of_subdomains,0.48919996054555737,0.7684552388809746,0.24512391017366308,1.0,0.7207447216645829
number_of_special_char_in_url,0.4764645970316267,0.7946995367798929,0.3997691822127949,1.0,0.6817650602517339
having_repeated_digits_in_domain,0.15141760755969902,0.4816532240953308,0.1917824444410301,1.0,0.6697643834643681
domain_length,0.39230162683169206,0.7684552388809746,0.2743263093262299,1.0,0.6238463879507176
number_of_equal_in_url,0.24967362341576074,0.7374462664278474,0.24286415827255486,1.0,0.5122273569879134
number_of_slash_in_url,0.3125849466918701,0.8677766760306403,0.22874203301876728,1.0,0.44480827066122963
number_of_digits_in_domain,0.4374367947670657,1.0,0.2984232546532203,1.0,0.43743679476706565
number_of_digits_in_url,0.43713954221819046,1.0,0.2984232546532203,1.0,0.4371395422181905
number_of_dots_in_domain,0.39560087081336814,1.0,0.3272269751428585,1.0,0.39560087081336803
number_of_dots_in_url,0.39008729940671116,1.0,0.3272269751428585,1.0,0.3900872994067113
path_length,0.18085589868020552,0.8677766760306403,0.16077771320633266,1.0,0.3130792226495652
number_of_questionmark_in_url,0.22128012936063707,0.9228638614265524,0.2544313545836721,1.0,0.2984162679340846
having_query,0.1835838578941546,0.9228638614265524,0.24975186597606247,1.0,0.26071999646760224
number_of_hyphens_in_url,0.11694310226252551,1.0,0.1734677299168052,0.8,-0.08305689773747449
number_of_hyphens_in_domain,0.11066614365779548,1.0,0.1734677299168052,0.8,-0.08933385634220448
