Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
entropy_of_url,1.0,0.7722383243255333,0.348938966865899,1.0,1.2277616756744667
average_subdomain_length,0.5036424329072446,0.27790827960408476,0.0895831625807164,1.0,1.2257341533031598
entropy_of_domain,0.7061177515476313,0.6722846877129991,0.1694829472735513,1.0,1.0338330638346322
url_length,0.7354354745131022,0.7946995367798929,0.40318116746655547,1.0,0.9407359377332093
having_digits_in_domain,0.27492952370738644,0.5293517156300018,0.24267355877569866,1.0,0.7455778080773847
domain_length,0.37863313201657955,0.6722846877129991,0.20707906106555535,1.0,0.7063484443035806
number_of_special_char_in_url,0.47231454172333764,0.7946995367798929,0.3779370751419096,1.0,0.6776150049434447
having_repeated_digits_in_domain,0.15165247600936607,0.5293705925772805,0.1959223303299707,1.0,0.6222818834320856
number_of_equal_in_url,0.23412537401993863,0.7374462664278474,0.24634644258495897,1.0,0.49667910759209133
number_of_digits_in_subdomain,0.1157161297046445,0.6715261753639834,0.12290173045310546,1.0,0.4441899543406611
number_of_digits_in_domain,0.4431633652487047,1.0,0.2840541442344825,1.0,0.4431633652487048
number_of_digits_in_url,0.44133392761906215,1.0,0.28405414423448244,1.0,0.4413339276190622
number_of_slash_in_url,0.3068840056124725,0.8677766760306403,0.20827497743027285,1.0,0.4391073295818321
having_repeated_digits_in_url,0.07779478360250205,0.6389266240001799,0.20131324534369857,1.0,0.4388681596023223
number_of_percent_in_url,0.027952067977312256,0.5975396568105967,0.12217317490952823,1.0,0.43041241116671547
having_digits_in_subdomain,0.09369311642049576,0.6715261753639834,0.10720438799388664,1.0,0.4221669410565123
number_of_dots_in_domain,0.39796130672255864,1.0,0.2587980712678656,1.0,0.3979613067225587
number_of_dots_in_url,0.39348543679442316,1.0,0.2587980712678656,1.0,0.39348543679442316
number_of_special_characters_in_domain,0.06957056968222515,0.7130828707631865,0.22079556190163985,1.0,0.35648769891903853
having_special_characters_in_domain,0.060951731373487625,0.7130828707631865,0.20635824479791928,1.0,0.347868860610301
path_length,0.17221633303634,0.8677766760306403,0.14403382724367803,1.0,0.30443965700569964
number_of_questionmark_in_url,0.22263507879331348,0.9228638614265524,0.25296645816878405,1.0,0.29977121736676116
having_query,0.1833303105503176,0.9228638614265524,0.2484185846652554,1.0,0.26046644912376526
number_of_hyphens_in_domain,0.11320525054383153,1.0,0.14865754088353864,1.0,0.11320525054383146
number_of_hyphens_in_url,0.11052145012932665,1.0,0.1486575408835386,1.0,0.11052145012932657
