Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
average_subdomain_length,0.6749222198766579,0.22318088066596725,0.09157077480315237,1.0,1.4517413392106906
url_length,1.0,0.7946995367798929,0.39429201464036734,1.0,1.205300463220107
domain_length,0.5161502217031553,0.5629010692916353,0.18988860730314946,1.0,0.95324915241152
having_digits_in_domain,0.366202016037021,0.48292935339774384,0.2507593919268844,1.0,0.8832726626392771
number_of_special_char_in_url,0.6481334635571346,0.7946995367798929,0.37565186746295975,1.0,0.8534339267772416
having_repeated_digits_in_domain,0.20410242103246745,0.5293705925772805,0.20290853172296783,1.0,0.6747318284551869
number_of_digits_in_url,0.6166412192793919,1.0,0.29336900679839606,1.0,0.616641219279392
number_of_digits_in_domain,0.6072769612273858,1.0,0.29336900679839606,1.0,0.6072769612273858
number_of_equal_in_url,0.3380712964692218,0.7374462664278474,0.25440525421546323,1.0,0.6006250300413745
number_of_slash_in_url,0.4232565568566674,0.8677766760306403,0.21490157211308097,1.0,0.555479880826027
number_of_dots_in_domain,0.5309304582235963,1.0,0.27465525733640017,1.0,0.5309304582235963
number_of_dots_in_url,0.5281988431232881,1.0,0.27465525733640017,1.0,0.5281988431232882
number_of_digits_in_subdomain,0.1462790276851636,0.6715261753639834,0.1305707459230529,1.0,0.47475285232118014
number_of_special_characters_in_domain,0.09361227553529639,0.6270375249051711,0.21752277112555723,1.0,0.4665747506301253
having_repeated_digits_in_url,0.10412350919016455,0.6389266240001799,0.20846461021458346,1.0,0.4651968851899848
having_digits_in_subdomain,0.1270544015631345,0.6715261753639834,0.11314930543769079,1.0,0.4555282261991511
number_of_percent_in_url,0.04043941125384367,0.5975396568105967,0.12823540385414822,1.0,0.44289975444324703
path_length,0.24477687051737104,0.8677766760306403,0.14815830906003902,1.0,0.3770001944867306
number_of_questionmark_in_url,0.29962500320370394,0.9228638614265524,0.2657380362859268,1.0,0.3767611417771516
having_query,0.23012371639671766,0.9228638614265524,0.2607035315065501,1.0,0.30725985497016517
