Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
average_subdomain_length,0.5114401014607763,0.27790827960408476,0.10364901368334362,1.0,1.2335318218566915
entropy_of_url,1.0,0.7722383243255333,0.3439004107481678,1.0,1.2277616756744667
having_repeated_digits_in_subdomain,0.1307365960022662,0.0,0.0,1.0,1.1307365960022662
having_special_characters_in_subdomain,0.12996293294012942,0.0,0.0,1.0,1.1299629329401295
entropy_of_domain,0.7105558506146187,0.6722846877129991,0.19964378233459268,1.0,1.0382711629016195
url_length,0.7396807250717655,0.7946995367798929,0.40345330827831133,1.0,0.9449811882918727
having_digits_in_domain,0.2804573695589455,0.5293517156300018,0.24653298563709178,1.0,0.7511056539289436
number_of_subdomains,0.4806802873764401,0.7684552388809746,0.21998115476516428,1.0,0.7122250484954654
number_of_special_char_in_url,0.4792645170326473,0.7946995367798929,0.35548711676760447,1.0,0.6845649802527544
having_repeated_digits_in_domain,0.14585241930619888,0.5293705925772805,0.22494366808054186,1.0,0.6164818267289185
domain_length,0.38308456960900994,0.7684552388809746,0.25711242022181546,1.0,0.6146293307280354
number_of_equal_in_url,0.25301058800854137,0.7374462664278474,0.2177261031703682,1.0,0.515564321580694
number_of_digits_in_domain,0.4457706988638655,1.0,0.3018511000712254,1.0,0.44577069886386544
number_of_digits_in_url,0.44218250727274705,1.0,0.3018511000712254,1.0,0.442182507272747
number_of_slash_in_url,0.30823821079729896,0.8677766760306403,0.20852899607939432,1.0,0.4404615347666586
number_of_digits_in_subdomain,0.10721579588068184,0.6715261753639834,0.13373569794296727,1.0,0.43568962051669846
having_digits_in_subdomain,0.09300248836527979,0.6715261753639834,0.11566653555538443,1.0,0.4214763130012964
number_of_dots_in_url,0.39575680434231486,1.0,0.2902197928666689,1.0,0.39575680434231497
number_of_dots_in_domain,0.3878010810442849,1.0,0.2902197928666689,1.0,0.3878010810442849
path_length,0.1760845880235461,0.8677766760306403,0.15064505207481904,1.0,0.30830791199290586
number_of_questionmark_in_url,0.2096191636654543,0.9228638614265524,0.2267656907740807,1.0,0.2867553022389019
having_query,0.17218570784672352,0.9228638614265524,0.2258691521085843,1.0,0.24932184642017108
having_repeated_digits_in_url,0.08724706650061903,0.63892662400018,0.2173390677729779,0.8,0.24832044250043916
number_of_hyphens_in_url,0.11748798446347869,1.0,0.16080037477355227,1.0,0.11748798446347863
number_of_hyphens_in_domain,0.11593669031018214,1.0,0.1608003747735523,1.0,0.11593669031018217
