Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
entropy_of_url,1.0,0.7722383243255333,0.30079804093317525,1.0,1.2277616756744667
average_subdomain_length,0.5011622509279896,0.27790827960408476,0.0835833663539495,1.0,1.2232539713239048
number_of_special_characters_in_subdomain,0.09666065566697096,0.061412228154297706,0.010757796148311996,1.0,1.0352484275126732
entropy_of_domain,0.7072514094688016,0.6722846877129991,0.1561092438117681,1.0,1.0349667217558025
url_length,0.7396975955493061,0.7946995367798929,0.35116626794490086,1.0,0.9449980587694132
having_anchor,0.0,0.07410130019217447,0.019351967279392805,1.0,0.9258986998078256
number_of_at_in_url,0.009502171056766187,0.1764085348090263,0.036351038013219615,1.0,0.8330936362477399
number_of_dollar_in_url,0.0,0.1764085348090263,0.017316843165305306,1.0,0.8235914651909737
having_digits_in_domain,0.27637501957194405,0.5293517156300018,0.20839517665284343,1.0,0.7470233039419423
number_of_subdomains,0.4749322459539886,0.7684552388809746,0.1709971859824428,1.0,0.7064770070730141
number_of_special_char_in_url,0.4801543038625921,0.7946995367798929,0.32938850199329844,1.0,0.6854547670826993
having_repeated_digits_in_domain,0.1481496984452475,0.5293705925772805,0.17646590599551418,1.0,0.618779105867967
domain_length,0.3785124166518817,0.7684552388809746,0.19914465419915875,1.0,0.6100571777709071
number_of_equal_in_url,0.24328586100656446,0.7374462664278474,0.2116520847126931,1.0,0.5058395945787171
number_of_slash_in_url,0.32135861576075614,0.8677766760306403,0.1763924241202834,1.0,0.45358193973011585
number_of_digits_in_url,0.4491983092528281,1.0,0.24635997869738827,1.0,0.4491983092528282
having_repeated_digits_in_url,0.0813633986933702,0.6389266240001799,0.17375545844255702,1.0,0.4424367746931903
number_of_digits_in_subdomain,0.11229320386082353,0.6715261753639834,0.10397852488162354,1.0,0.44076702849684013
number_of_digits_in_domain,0.44041456772599663,1.0,0.24635997869738827,1.0,0.4404145677259965
number_of_percent_in_url,0.033707413938918254,0.5975396568105967,0.10294400039617874,1.0,0.43616775712832145
having_digits_in_subdomain,0.0990569415351946,0.6715261753639834,0.09069569039815097,1.0,0.4275307661712111
number_of_dots_in_domain,0.3986542731934568,1.0,0.24315250674292477,1.0,0.3986542731934568
number_of_dots_in_url,0.39456939808047026,1.0,0.24315250674292477,1.0,0.3945693980804703
number_of_special_characters_in_domain,0.06908481938646557,0.7130828707631865,0.1944204707688159,1.0,0.35600194862327894
having_special_characters_in_domain,0.06247685568328853,0.7130828707631865,0.18127326173524144,1.0,0.3493939849201019
path_length,0.1739148938481688,0.8677766760306403,0.12287547018945655,1.0,0.30613821781752837
number_of_questionmark_in_url,0.21029122599180888,0.9228638614265524,0.2143463498470277,1.0,0.2874273645652564
having_query,0.18869233395815768,0.9228638614265524,0.21219719544255566,1.0,0.26582847253160524
number_of_hyphens_in_url,0.11381301993046504,1.0,0.1272565188170923,1.0,0.113813019930465
number_of_hyphens_in_domain,0.11124892843727995,1.0,0.12725651881709232,1.0,0.11124892843727996
