Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
average_subdomain_length,0.5030494722239046,0.22318088066596725,0.07916315533416088,1.0,1.2798685915579375
entropy_of_url,1.0,0.7722383243255333,0.3391517376810445,1.0,1.2277616756744667
url_length,0.7382556855541382,0.7946995367798929,0.3942047115981337,1.0,0.9435561487742453
number_of_at_in_url,0.008786243156012948,0.11328297519264445,0.03513781996815455,1.0,0.8955032679633684
domain_length,0.3798123306916841,0.5629010692916353,0.18057836161982604,1.0,0.8169112614000488
having_digits_in_domain,0.27889275198925884,0.5293517156300018,0.24002959168729585,1.0,0.749541036359257
number_of_special_char_in_url,0.474125749819183,0.7946995367798929,0.3759949341617208,1.0,0.6794262130392902
having_repeated_digits_in_domain,0.15075261344944715,0.5293705925772805,0.1826433075613732,1.0,0.6213820208721668
number_of_equal_in_url,0.2350231862518477,0.7374462664278474,0.24747017579846775,1.0,0.4975769198240003
number_of_digits_in_url,0.4430263328110732,1.0,0.2761767499974152,1.0,0.44302633281107306
number_of_digits_in_domain,0.44092330899461796,1.0,0.2761767499974152,1.0,0.44092330899461807
number_of_slash_in_url,0.3080608289925503,0.8677766760306403,0.20496992619820412,1.0,0.44028415296191004
having_repeated_digits_in_url,0.07809310713359911,0.6389266240001799,0.19686648541783391,1.0,0.4391664831334192
number_of_percent_in_url,0.032715922344447944,0.5975396568105967,0.12125723086687516,1.0,0.43517626553385125
number_of_digits_in_subdomain,0.10235030710769501,0.6715261753639834,0.11567558047993613,1.0,0.4308241317437116
having_digits_in_subdomain,0.10176377034444346,0.6715261753639834,0.09998110644742207,1.0,0.43023759498046
number_of_dots_in_url,0.39499435499566876,1.0,0.2489062581276177,1.0,0.3949943549956687
number_of_dots_in_domain,0.3944597393482339,1.0,0.2489062581276177,1.0,0.39445973934823386
having_special_characters_in_domain,0.06652769538254041,0.7130828707631865,0.21050842399247727,1.0,0.3534448246193539
number_of_special_characters_in_domain,0.058864294820274575,0.7130828707631865,0.22498879917328132,1.0,0.3457814240570881
path_length,0.18333418398078685,0.8677766760306403,0.14295841440356172,1.0,0.3155575079501466
number_of_questionmark_in_url,0.22348882861786543,0.9228638614265524,0.2535931767443225,1.0,0.30062496719131293
having_query,0.18728665191933855,0.9228638614265524,0.25131486097251443,1.0,0.26442279049278616
number_of_hyphens_in_url,0.11094527223844153,1.0,0.14163017339844589,1.0,0.11094527223844164
number_of_hyphens_in_domain,0.10486088920140728,1.0,0.14163017339844589,1.0,0.10486088920140735
