Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
average_subdomain_length,0.5061521541436237,0.27790827960408476,0.10465140794297167,1.0,1.228243874539539
entropy_of_url,1.0,0.7722383243255333,0.340209913000507,1.0,1.2277616756744667
having_repeated_digits_in_subdomain,0.11782943663203373,0.0,0.0,1.0,1.1178294366320338
having_special_characters_in_subdomain,0.1167643145888624,0.0,0.0,1.0,1.1167643145888624
entropy_of_domain,0.7140918215284594,0.6722846877129991,0.20282113112555702,1.0,1.0418071338154602
url_length,0.7446406940919065,0.7946995367798929,0.40497877802329724,1.0,0.9499411573120137
having_digits_in_domain,0.2825431115718764,0.5293517156300018,0.23648509787293556,1.0,0.7531913959418746
number_of_subdomains,0.4793971426804332,0.7684552388809746,0.2234949614421602,1.0,0.7109419037994588
number_of_special_char_in_url,0.4792292360716676,0.7946995367798929,0.36379972227336416,1.0,0.6845296992917748
having_repeated_digits_in_domain,0.14209993678082092,0.5293705925772805,0.21946237510657995,1.0,0.6127293442035404
domain_length,0.3810712620651319,0.7684552388809746,0.2599676510152877,1.0,0.6126160231841574
number_of_equal_in_url,0.24466976017103523,0.7374462664278474,0.2222538334577915,1.0,0.5072234937431879
number_of_digits_in_domain,0.4513076026414237,1.0,0.28652948534718203,1.0,0.4513076026414238
number_of_slash_in_url,0.31261332005228626,0.8677766760306403,0.21170350094072685,1.0,0.4448366440216459
number_of_digits_in_url,0.44158560271339253,1.0,0.28652948534718203,1.0,0.4415856027133924
number_of_digits_in_subdomain,0.10385220812937564,0.6715261753639834,0.13230249500656266,1.0,0.43232603276539217
having_digits_in_subdomain,0.08819753277764726,0.6715261753639834,0.11499859534750638,1.0,0.4166713574136638
number_of_dots_in_url,0.39749178885952885,1.0,0.2978891677273593,1.0,0.39749178885952885
number_of_dots_in_domain,0.388590275057021,1.0,0.2978891677273593,1.0,0.38859027505702093
number_of_questionmark_in_url,0.2267053969559133,0.9228638614265524,0.23362474935844701,1.0,0.303841535529361
path_length,0.16761344232162914,0.8677766760306403,0.14922886967199822,1.0,0.29983676629098877
having_query,0.17383028470695217,0.9228638614265524,0.2308411683894576,1.0,0.25096642328039975
number_of_hyphens_in_domain,0.11823239204376429,1.0,0.163056148871051,1.0,0.11823239204376423
number_of_hyphens_in_url,0.11432504892498553,1.0,0.16305614887105097,1.0,0.11432504892498563
