Feature,Relevance_to_Target,Max_Redundancy_Score,Mean_Redundancy_Score,Stability_Score,Composite_Score
entropy_of_url,1.0,0.7722383243255333,0.33776516715472565,1.0,1.2277616756744667
average_subdomain_length,0.5023061009595128,0.27790827960408476,0.09142242719605205,1.0,1.2243978213554279
entropy_of_domain,0.7061506705148508,0.6722846877129991,0.1724825712813441,1.0,1.0338659828018517
url_length,0.7435158484881131,0.7946995367798929,0.3936892743874669,1.0,0.9488163117082201
having_digits_in_domain,0.26834376938206733,0.5293517156300018,0.2300583764196437,1.0,0.7389920537520656
number_of_subdomains,0.480313378250436,0.7684552388809746,0.18933152302650333,1.0,0.7118581393694615
number_of_special_char_in_url,0.4770177646587617,0.7946995367798929,0.3695476696092681,1.0,0.6823182278788688
having_repeated_digits_in_domain,0.15770099923142786,0.5293705925772805,0.19545233660689582,1.0,0.6283304066541473
domain_length,0.3899205502236076,0.7684552388809746,0.22040049943728737,1.0,0.621465311342633
number_of_equal_in_url,0.2464562622110338,0.7374462664278474,0.2359812572895948,1.0,0.5090099957831864
number_of_slash_in_url,0.3150142135451727,0.8677766760306403,0.19810926019759484,1.0,0.44723753751453243
number_of_digits_in_domain,0.4381456925811094,1.0,0.27546666490946914,1.0,0.43814569258110936
having_repeated_digits_in_url,0.07693365313060349,0.6389266240001799,0.19489897014462304,1.0,0.43800702913042366
number_of_digits_in_url,0.4365088205093322,1.0,0.27546666490946914,1.0,0.43650882050933215
number_of_digits_in_subdomain,0.10664020047790446,0.6715261753639834,0.1145729036396208,1.0,0.43511402511392117
number_of_percent_in_url,0.026624184605995423,0.5975396568105967,0.11344615587113772,1.0,0.42908452779539863
having_digits_in_subdomain,0.09815484421233267,0.6715261753639834,0.0995716814214286,1.0,0.42662866884834916
number_of_dots_in_domain,0.40391984271249814,1.0,0.2686958366852493,1.0,0.40391984271249814
number_of_dots_in_url,0.3871900380347348,1.0,0.2686958366852493,1.0,0.38719003803473484
number_of_underline_in_url,0.004367963915360144,0.6387974036489925,0.11208534071669421,1.0,0.3655705602663677
number_of_special_characters_in_domain,0.07393877403248023,0.7130828707631865,0.22938766144969822,1.0,0.3608559032692936
having_special_characters_in_domain,0.058882729088106454,0.7130828707631865,0.21507993879595072,1.0,0.3457998583249199
path_length,0.18244349562533488,0.8677766760306403,0.13990018039441285,1.0,0.31466681959469456
number_of_questionmark_in_url,0.20607100750380222,0.9228638614265524,0.2371616431727553,1.0,0.2832071460772497
having_query,0.17645115232794956,0.9228638614265524,0.23520284299168612,1.0,0.2535872909013971
number_of_hyphens_in_domain,0.11823728972503883,1.0,0.14007901601672104,1.0,0.11823728972503877
number_of_hyphens_in_url,0.11377380766850087,1.0,0.14007901601672104,1.0,0.11377380766850087
